Index,Elevation,Aspect,Slope,Horiz_dist_hydro,Vertical_dist_hydro,Horiz_dist_roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horiz_dist_firepoints,Cover_Type,Wilderness_Area,Soil_Type
0,3202,34,10,0,0,2760,219,218,134,1734,1,3,38
1,3113,251,13,192,40,5600,191,249,195,2555,2,1,22
2,2801,77,9,510,17,1728,232,223,122,1087,2,1,12
3,3165,82,9,319,56,4890,233,225,124,1452,1,1,29
4,3048,333,11,124,31,2823,196,226,170,666,1,1,23
5,2347,31,16,242,140,216,214,203,120,1425,3,4,2
6,3381,56,22,376,147,1919,228,187,81,2059,1,1,40
7,2290,86,24,30,0,1325,246,192,61,830,4,4,17
8,3051,75,21,150,0,1003,240,194,74,1733,1,3,22
9,2978,294,18,228,29,5730,167,233,205,1920,1,1,29
10,3028,337,14,60,12,2269,189,221,170,1130,1,3,23
11,2468,155,24,390,60,361,239,234,111,1134,3,3,2
12,3071,62,15,153,28,4894,231,209,106,560,1,1,29
13,3004,108,7,30,6,1998,232,232,133,2987,1,3,23
14,3469,280,33,180,55,3081,114,223,238,1921,1,1,40
15,2600,5,28,67,34,1261,171,173,128,6582,2,1,29
16,2644,154,12,175,14,2135,235,241,135,2551,3,3,4
17,2792,191,11,240,39,1714,220,249,162,2658,2,1,29
18,3152,246,11,603,3,6215,197,249,190,1600,2,1,29
19,3290,153,15,437,102,1136,237,240,130,2542,2,1,29
20,2182,347,23,42,17,212,169,195,160,569,2,4,10
21,2897,150,8,175,14,2409,231,240,141,2497,2,3,26
22,2999,210,29,216,97,1989,184,252,187,2059,2,3,33
23,2692,351,8,350,61,1387,206,227,159,1500,2,1,12
24,3034,303,11,485,-86,1919,189,235,186,2268,2,3,31
25,3181,239,11,330,71,1422,200,249,187,2462,1,3,33
26,3271,82,19,180,38,2026,243,202,81,1358,7,1,39
27,3126,317,8,242,19,5495,199,233,174,693,1,1,23
28,3133,80,13,255,-51,1939,237,217,109,1570,1,1,29
29,3107,17,13,134,0,1770,209,213,139,1739,2,3,23
30,3057,265,11,658,368,2301,191,245,193,1419,2,3,32
31,3285,151,18,685,169,2646,240,237,119,2584,1,3,33
32,2745,71,10,0,0,1862,231,221,121,907,2,1,12
33,3293,56,21,306,11,1839,228,191,87,2594,1,1,39
34,2663,7,6,134,44,1777,213,228,153,4939,2,1,12
35,2861,104,17,127,1,960,246,217,94,2160,2,3,33
36,3374,41,9,300,25,1772,221,221,134,5033,1,2,39
37,3103,16,8,60,3,6795,213,223,146,2630,2,1,20
38,3073,351,16,446,9,3430,190,212,158,2954,2,1,29
39,3359,130,15,469,68,1986,243,231,113,2916,2,2,23
40,2808,283,17,30,11,2445,171,239,207,808,2,3,13
